age,income,loan_amount,employment,education,property_area,loan_status
65,73081.05,15016.08,Employed,Not Graduate,Urban,1
49,41247.75,12395.25,Employed,Graduate,Semiurban,1
37,57612.34,5457.29,Employed,Graduate,Rural,1
28,48548.65,5719.98,Employed,Not Graduate,Urban,0
22,34150.05,10480.31,Employed,Not Graduate,Rural,0
40,55811.97,16043.75,Employed,Graduate,Urban,1
30,30588.64,4451.51,Employed,Graduate,Rural,1
24,78831.8,10939.2,Self-Employed,Graduate,Rural,1
32,40706.91,10823.78,Employed,Graduate,Urban,1
27,53128.24,23279.66,Employed,Graduate,Rural,1
55,54902.55,11452.82,Employed,Graduate,Semiurban,1
47,44198.14,15571.47,Self-Employed,Graduate,Semiurban,0
38,61986.85,14136.32,Employed,Graduate,Rural,0
53,40539.76,5697.45,Employed,Not Graduate,Rural,0
39,69460.87,18165.56,Employed,Not Graduate,Urban,1
29,28612.76,14561.82,Employed,Graduate,Urban,1
53,51562.6,16371.67,Unemployed,Graduate,Rural,0
43,106465.0,64247.31,Unemployed,Not Graduate,Urban,0
28,32855.27,5804.3,Employed,Graduate,Semiurban,0
36,37380.41,26632.26,Employed,Not Graduate,Urban,1
29,60208.16,11908.66,Self-Employed,Not Graduate,Rural,0
24,52671.65,14986.9,Employed,Graduate,Rural,1
47,56401.56,13118.71,Employed,Not Graduate,Semiurban,1
57,59615.74,11274.57,Employed,Graduate,Rural,1
24,63189.19,10636.71,Unemployed,Graduate,Rural,1
44,76410.85,15241.9,Employed,Graduate,Urban,1
31,57752.82,7281.78,Employed,Graduate,Semiurban,1
33,44511.24,18037.92,Self-Employed,Not Graduate,Urban,0
32,64153.21,11310.9,Employed,Graduate,Semiurban,1
29,104815.06,8501.28,Employed,Graduate,Rural,1
38,46487.86,11158.92,Unemployed,Graduate,Rural,1
30,33196.12,22089.54,Employed,Not Graduate,Rural,0
41,76330.84,10784.51,Employed,Graduate,Rural,0
37,46716.26,15419.4,Employed,Graduate,Urban,1
36,20556.49,9972.81,Employed,Not Graduate,Semiurban,0
29,68800.66,18090.98,Employed,Graduate,Rural,1
32,39571.67,17574.48,Employed,Not Graduate,Urban,0
46,47277.35,27985.55,Employed,Graduate,Urban,1
43,55982.37,12453.72,Self-Employed,Not Graduate,Rural,0
28,52902.18,17456.41,Employed,Not Graduate,Rural,1
39,65106.57,13894.2,Employed,Graduate,Rural,0
46,41184.01,22434.35,Employed,Graduate,Rural,0
21,60188.85,10021.29,Self-Employed,Not Graduate,Rural,0
43,44186.8,17997.75,Employed,Graduate,Semiurban,0
31,65875.65,12358.77,Employed,Not Graduate,Rural,0
44,62701.9,13021.08,Employed,Graduate,Semiurban,1
30,33719.26,13859.15,Employed,Graduate,Urban,1
21,75689.36,14778.02,Employed,Graduate,Rural,1
22,39561.62,12752.83,Self-Employed,Not Graduate,Urban,1
38,67725.84,14557.84,Employed,Graduate,Rural,1
41,56778.61,25115.67,Employed,Not Graduate,Semiurban,0
29,102259.96,19814.71,Employed,Not Graduate,Urban,1
44,44829.14,18914.08,Self-Employed,Graduate,Urban,1
21,42628.29,11134.28,Employed,Graduate,Semiurban,1
37,48641.49,9360.97,Employed,Not Graduate,Urban,0
26,43422.29,19577.19,Employed,Graduate,Rural,1
31,67506.34,18966.29,Employed,Not Graduate,Rural,0
38,25680.21,24078.35,Employed,Graduate,Semiurban,1
29,32161.55,10492.41,Employed,Graduate,Urban,1
34,31980.41,12187.68,Employed,Not Graduate,Urban,0
48,71691.18,6934.1,Employed,Graduate,Rural,1
32,97172.73,11418.74,Employed,Graduate,Semiurban,1
46,47014.92,19903.05,Employed,Graduate,Rural,1
27,45819.79,11085.6,Employed,Graduate,Urban,1
43,50413.83,17260.78,Self-Employed,Graduate,Rural,1
52,78022.41,12379.52,Unemployed,Not Graduate,Semiurban,0
21,33828.49,15208.7,Unemployed,Graduate,Semiurban,1
30,53924.9,8441.57,Self-Employed,Graduate,Semiurban,0
44,72408.51,13822.93,Employed,Not Graduate,Urban,0
36,59900.35,4038.16,Self-Employed,Graduate,Urban,1
42,52882.76,12397.39,Employed,Graduate,Rural,1
32,73161.05,6959.14,Employed,Not Graduate,Semiurban,0
39,16625.74,21642.14,Employed,Not Graduate,Urban,0
36,64289.41,18232.54,Employed,Graduate,Urban,1
50,37736.0,16101.51,Self-Employed,Graduate,Semiurban,0
41,23570.4,24548.41,Employed,Graduate,Urban,1
41,60143.04,9140.16,Employed,Graduate,Urban,1
34,84919.87,26874.83,Unemployed,Graduate,Rural,0
33,46398.42,19397.06,Employed,Graduate,Rural,1
34,71764.83,12153.57,Employed,Graduate,Semiurban,1
42,93424.72,21041.42,Unemployed,Graduate,Urban,1
34,82947.72,8582.52,Employed,Graduate,Rural,1
41,94465.11,9606.49,Employed,Not Graduate,Rural,1
59,65963.11,10473.09,Employed,Graduate,Rural,1
47,50522.47,10811.97,Employed,Graduate,Rural,1
35,25827.98,8754.97,Self-Employed,Graduate,Urban,1
50,44425.77,21790.58,Employed,Graduate,Urban,1
34,34985.93,12045.64,Employed,Not Graduate,Urban,1
21,116818.54,15382.75,Employed,Graduate,Urban,1
28,45690.5,10634.51,Employed,Graduate,Rural,0
21,51497.16,6449.51,Unemployed,Graduate,Semiurban,0
34,61119.98,14883.72,Employed,Not Graduate,Semiurban,0
38,49883.27,6217.34,Employed,Graduate,Semiurban,1
55,96569.71,12997.94,Employed,Graduate,Urban,1
41,38213.35,7728.53,Self-Employed,Graduate,Rural,1
36,52989.18,29581.68,Unemployed,Graduate,Rural,1
46,36425.04,19236.12,Employed,Graduate,Urban,1
21,28911.39,13936.99,Employed,Graduate,Urban,1
40,38380.02,22147.56,Employed,Not Graduate,Rural,0
46,48299.92,9523.08,Self-Employed,Not Graduate,Semiurban,0
23,41286.02,16603.88,Employed,Graduate,Urban,1
49,37161.61,14471.32,Self-Employed,Graduate,Urban,1
41,27930.46,14847.82,Employed,Graduate,Semiurban,0
34,47418.03,22224.3,Self-Employed,Not Graduate,Urban,1
44,26852.44,17907.89,Employed,Graduate,Semiurban,1
61,66437.86,14995.26,Employed,Not Graduate,Semiurban,0
40,50664.25,6891.51,Employed,Graduate,Semiurban,1
40,27363.89,9099.56,Employed,Graduate,Rural,1
33,43317.69,12719.82,Unemployed,Graduate,Rural,1
30,36284.19,13868.13,Self-Employed,Graduate,Rural,0
46,55696.34,8500.83,Self-Employed,Not Graduate,Rural,0
29,83799.32,35054.9,Employed,Not Graduate,Rural,0
39,23154.19,24503.17,Employed,Graduate,Urban,1
33,51328.96,16997.94,Self-Employed,Graduate,Rural,1
43,45979.31,13750.28,Employed,Not Graduate,Rural,0
41,64121.57,12272.5,Employed,Not Graduate,Semiurban,0
48,53384.66,9129.19,Employed,Graduate,Semiurban,0
33,36286.91,13780.26,Employed,Graduate,Rural,1
35,43147.44,14810.64,Employed,Graduate,Urban,1
28,35653.04,8129.83,Employed,Graduate,Semiurban,0
34,75387.96,15270.38,Employed,Graduate,Rural,1
42,49440.47,12555.28,Unemployed,Graduate,Semiurban,0
46,104869.95,6228.41,Employed,Graduate,Semiurban,1
29,47845.66,9469.64,Employed,Graduate,Urban,1
47,36924.75,11322.62,Employed,Graduate,Semiurban,0
52,26756.01,28426.44,Self-Employed,Not Graduate,Urban,0
42,23831.04,16690.94,Employed,Not Graduate,Urban,0
57,26012.84,7830.7,Employed,Graduate,Rural,0
30,54548.78,16226.72,Employed,Not Graduate,Urban,1
26,60083.47,7194.55,Employed,Not Graduate,Semiurban,0
21,26043.51,20600.62,Employed,Graduate,Urban,1
53,70123.65,11065.09,Self-Employed,Graduate,Urban,1
45,40407.7,12868.6,Self-Employed,Not Graduate,Rural,0
37,51985.35,22704.51,Employed,Not Graduate,Semiurban,0
41,93422.57,7983.52,Employed,Not Graduate,Semiurban,1
27,70174.18,7640.0,Unemployed,Not Graduate,Semiurban,0
62,44028.29,10578.3,Employed,Graduate,Rural,0
39,34321.36,20238.69,Self-Employed,Graduate,Rural,0
39,20728.69,7275.45,Employed,Graduate,Urban,1
45,36766.36,4303.3,Unemployed,Graduate,Urban,1
43,45050.88,11153.81,Self-Employed,Graduate,Rural,1
40,33028.57,16658.84,Unemployed,Graduate,Rural,0
30,46513.47,21592.57,Self-Employed,Graduate,Rural,1
43,50551.14,11100.39,Employed,Not Graduate,Semiurban,0
57,44804.22,11332.49,Unemployed,Graduate,Rural,0
51,37797.53,21195.84,Employed,Graduate,Urban,1
54,52441.94,6323.98,Employed,Graduate,Urban,1
33,58499.66,11436.8,Self-Employed,Graduate,Semiurban,1
28,31692.66,14417.09,Self-Employed,Not Graduate,Semiurban,1
37,86195.47,15989.5,Unemployed,Not Graduate,Semiurban,0
39,47125.27,10895.2,Employed,Not Graduate,Urban,0
49,49391.81,13545.05,Self-Employed,Graduate,Semiurban,1
21,65074.35,4937.77,Self-Employed,Graduate,Urban,1
53,53813.87,10267.11,Employed,Graduate,Urban,1
36,71772.36,16016.96,Employed,Graduate,Semiurban,1
34,54986.87,9018.94,Employed,Not Graduate,Urban,1
28,38369.76,13678.68,Employed,Not Graduate,Rural,1
21,56647.4,15974.5,Unemployed,Not Graduate,Urban,0
46,31023.79,11649.05,Employed,Graduate,Rural,1
39,51196.37,14302.44,Self-Employed,Not Graduate,Semiurban,0
25,48373.53,9089.79,Unemployed,Graduate,Urban,0
25,45105.22,12300.01,Employed,Not Graduate,Rural,1
35,46564.09,17053.09,Self-Employed,Graduate,Urban,1
55,23092.44,14225.47,Employed,Graduate,Rural,1
35,39360.18,10565.9,Self-Employed,Graduate,Urban,1
23,50875.56,14613.29,Employed,Not Graduate,Urban,1
36,52257.7,17780.26,Unemployed,Graduate,Urban,1
35,32497.87,5884.18,Employed,Graduate,Urban,1
21,81331.05,21239.75,Employed,Not Graduate,Semiurban,1
37,34666.53,11678.42,Self-Employed,Graduate,Rural,1
36,72242.43,15838.45,Employed,Graduate,Urban,1
45,58155.62,21566.55,Employed,Graduate,Rural,1
56,37854.65,7718.15,Employed,Graduate,Urban,1
49,99720.28,10059.01,Self-Employed,Not Graduate,Semiurban,0
35,30410.56,11903.41,Employed,Not Graduate,Semiurban,0
27,70803.36,9764.4,Employed,Graduate,Rural,0
64,73147.48,26741.57,Employed,Not Graduate,Semiurban,0
39,37487.09,9483.33,Employed,Graduate,Rural,1
38,85561.11,10697.67,Employed,Graduate,Urban,1
38,44355.03,14497.85,Employed,Graduate,Rural,1
40,55021.4,8259.67,Employed,Graduate,Rural,0
37,54400.51,11404.09,Employed,Graduate,Rural,1
32,46456.72,15168.58,Employed,Not Graduate,Semiurban,0
33,67800.4,11694.29,Self-Employed,Not Graduate,Rural,0
38,67332.31,12869.88,Employed,Graduate,Semiurban,1
33,24357.31,10810.44,Employed,Graduate,Semiurban,1
31,82597.62,7289.66,Self-Employed,Not Graduate,Rural,0
39,25210.18,15193.72,Employed,Not Graduate,Rural,0
35,74088.71,26956.32,Self-Employed,Not Graduate,Urban,1
53,76932.37,13458.43,Employed,Graduate,Semiurban,1
21,31685.47,14619.41,Employed,Not Graduate,Rural,0
49,41592.46,17625.27,Employed,Graduate,Urban,1
50,31499.22,8040.67,Self-Employed,Graduate,Urban,1
21,44982.63,26397.01,Self-Employed,Graduate,Rural,1
35,43338.05,14485.91,Employed,Graduate,Urban,0
34,66960.9,25661.39,Employed,Graduate,Urban,1
24,82795.05,9964.53,Unemployed,Graduate,Rural,0
30,85671.33,27645.68,Employed,Graduate,Urban,1
27,39149.1,18216.12,Employed,Not Graduate,Rural,0
56,45085.29,16667.5,Unemployed,Graduate,Urban,0
47,24999.84,14670.73,Self-Employed,Graduate,Urban,1
51,35512.92,12095.5,Employed,Graduate,Rural,0
45,72109.47,21594.9,Self-Employed,Not Graduate,Rural,1
27,93548.3,14131.25,Self-Employed,Graduate,Urban,1
33,29919.34,6082.51,Employed,Graduate,Urban,1
43,38677.54,8545.2,Employed,Graduate,Rural,1
26,48505.75,12402.6,Employed,Not Graduate,Urban,0
45,54833.93,15123.42,Unemployed,Not Graduate,Urban,0
36,35459.93,13060.72,Self-Employed,Graduate,Urban,1
34,58082.77,21754.77,Employed,Graduate,Semiurban,1
45,40557.02,6121.48,Self-Employed,Not Graduate,Semiurban,0
42,48738.23,14149.51,Employed,Graduate,Semiurban,1
34,60992.96,6456.28,Employed,Graduate,Semiurban,1
50,49146.89,18103.94,Employed,Graduate,Rural,0
27,41169.2,12864.37,Employed,Graduate,Rural,1
44,46917.97,15801.24,Self-Employed,Graduate,Rural,1
44,47318.41,9456.4,Employed,Graduate,Urban,1
35,42276.88,22287.6,Self-Employed,Not Graduate,Rural,1
41,44200.07,20265.8,Employed,Not Graduate,Semiurban,0
25,92916.72,16872.12,Employed,Graduate,Rural,1
47,61351.06,12685.22,Unemployed,Not Graduate,Urban,0
36,43556.22,16847.25,Employed,Graduate,Urban,1
33,64781.92,10069.26,Employed,Graduate,Rural,1
48,42893.36,18811.47,Employed,Graduate,Rural,1
31,78374.18,25842.93,Self-Employed,Not Graduate,Semiurban,0
24,56832.12,20501.31,Employed,Not Graduate,Urban,0
22,46961.3,9978.21,Employed,Not Graduate,Semiurban,0
44,58634.98,15437.69,Employed,Not Graduate,Rural,1
25,26151.18,7964.45,Employed,Graduate,Semiurban,0
56,31234.95,16797.01,Self-Employed,Not Graduate,Rural,0
21,30407.06,15998.36,Employed,Not Graduate,Rural,0
55,51905.35,6323.79,Employed,Not Graduate,Rural,0
40,98027.76,8394.12,Employed,Graduate,Semiurban,1
37,119673.21,11929.2,Employed,Graduate,Semiurban,1
33,63273.41,11844.94,Unemployed,Graduate,Urban,1
42,59894.37,8235.5,Employed,Graduate,Urban,0
38,23850.89,15608.82,Unemployed,Graduate,Semiurban,0
49,39455.57,14773.49,Employed,Graduate,Rural,0
39,35770.78,12360.89,Employed,Graduate,Rural,1
40,38240.9,9874.23,Self-Employed,Graduate,Rural,1
34,45832.21,20322.48,Employed,Graduate,Urban,1
37,40585.4,25904.26,Self-Employed,Graduate,Semiurban,1
41,22209.6,11010.18,Unemployed,Not Graduate,Semiurban,0
21,66115.87,10458.11,Employed,Graduate,Urban,1
25,31917.28,16260.32,Employed,Graduate,Urban,1
45,53943.84,11577.15,Self-Employed,Not Graduate,Semiurban,0
40,112379.08,12635.19,Employed,Graduate,Urban,1
36,33936.49,17959.26,Employed,Graduate,Semiurban,0
38,17816.58,6224.56,Employed,Graduate,Urban,1
41,43721.63,22636.55,Employed,Graduate,Rural,1
33,76144.17,13753.82,Self-Employed,Not Graduate,Semiurban,1
30,107295.18,11332.19,Employed,Graduate,Rural,1
40,29976.83,12891.28,Employed,Graduate,Rural,0
28,59795.14,13160.45,Employed,Graduate,Rural,1
42,40695.62,6684.32,Employed,Graduate,Urban,1
21,46986.74,24293.77,Employed,Not Graduate,Urban,0
48,141172.43,13582.4,Self-Employed,Graduate,Semiurban,1
43,26871.24,15949.79,Employed,Graduate,Semiurban,1
41,54257.46,19547.84,Self-Employed,Graduate,Rural,1
48,59105.38,8879.81,Self-Employed,Graduate,Urban,1
55,75683.43,16145.37,Employed,Graduate,Urban,1
48,50980.23,12003.38,Employed,Not Graduate,Urban,1
21,55449.07,18745.49,Employed,Not Graduate,Rural,1
25,41912.55,5705.06,Employed,Not Graduate,Semiurban,0
32,54592.44,12840.54,Self-Employed,Not Graduate,Rural,1
38,42732.84,10497.28,Self-Employed,Not Graduate,Semiurban,0
43,62857.7,15881.42,Employed,Graduate,Urban,1
31,42283.65,16123.25,Employed,Not Graduate,Urban,0
40,57001.92,10066.31,Unemployed,Not Graduate,Urban,0
30,48450.35,10048.02,Unemployed,Not Graduate,Rural,0
32,76912.22,12781.24,Employed,Graduate,Urban,1
24,48023.34,9333.29,Employed,Graduate,Semiurban,0
29,24119.77,18709.63,Employed,Not Graduate,Urban,0
24,81207.96,11525.5,Unemployed,Not Graduate,Semiurban,0
28,34122.32,4176.4,Employed,Not Graduate,Rural,0
49,37740.67,11499.64,Employed,Graduate,Semiurban,1
29,38628.11,8818.28,Employed,Graduate,Rural,1
64,84946.36,6956.9,Employed,Graduate,Semiurban,0
43,20862.95,8143.94,Employed,Not Graduate,Urban,0
40,171974.14,13957.38,Unemployed,Graduate,Semiurban,1
29,74788.75,22730.35,Employed,Graduate,Semiurban,1
45,53599.53,15142.7,Employed,Not Graduate,Urban,1
32,47956.15,10481.83,Employed,Graduate,Urban,1
39,54952.34,16032.32,Employed,Not Graduate,Rural,0
64,60382.16,11118.48,Employed,Graduate,Semiurban,1
37,63455.0,10118.9,Employed,Not Graduate,Rural,0
49,61220.77,8419.07,Employed,Graduate,Rural,1
31,50809.18,6629.39,Employed,Not Graduate,Urban,0
38,45300.11,11430.39,Employed,Not Graduate,Urban,1
56,46142.54,14231.62,Employed,Graduate,Semiurban,1
32,45344.16,12853.23,Unemployed,Graduate,Urban,1
56,77150.09,11311.93,Unemployed,Graduate,Rural,0
45,62157.25,9151.76,Employed,Not Graduate,Semiurban,0
32,15121.07,17039.65,Employed,Not Graduate,Urban,0
44,63726.79,7888.39,Unemployed,Graduate,Rural,0
48,52991.91,18222.48,Employed,Graduate,Urban,1
44,48655.32,8947.35,Self-Employed,Graduate,Rural,0
22,41965.06,9887.49,Unemployed,Not Graduate,Urban,0
31,76852.64,7430.04,Employed,Not Graduate,Semiurban,1
36,71611.47,10931.89,Employed,Graduate,Urban,1
37,35984.69,19734.53,Unemployed,Graduate,Rural,0
44,57688.95,16419.93,Employed,Graduate,Rural,1
40,33234.29,19759.09,Employed,Graduate,Urban,1
25,28230.34,16462.77,Employed,Graduate,Semiurban,1
42,38151.22,8591.53,Employed,Graduate,Urban,1
44,69213.93,11703.98,Self-Employed,Graduate,Rural,1
44,71772.02,9778.29,Self-Employed,Graduate,Urban,1
49,60188.35,22747.94,Unemployed,Graduate,Rural,0
46,65515.26,8277.4,Employed,Graduate,Urban,1
43,60262.86,19100.68,Employed,Graduate,Rural,0
37,37926.58,19095.0,Employed,Not Graduate,Urban,0
21,58265.71,27773.79,Employed,Not Graduate,Semiurban,1
42,67518.97,11340.38,Employed,Graduate,Urban,1
40,66284.84,17763.99,Unemployed,Graduate,Semiurban,0
41,78870.72,33278.3,Self-Employed,Not Graduate,Semiurban,0
25,65076.68,10435.23,Employed,Not Graduate,Urban,1
27,56420.02,7229.92,Employed,Graduate,Rural,1
49,75211.55,6298.05,Employed,Graduate,Urban,1
38,48503.51,17766.76,Employed,Graduate,Rural,0
45,34449.51,6290.15,Self-Employed,Graduate,Semiurban,1
38,45925.38,11511.16,Employed,Graduate,Rural,1
38,36389.62,15913.53,Unemployed,Graduate,Rural,0
47,37418.81,14386.85,Employed,Not Graduate,Urban,0
33,46267.38,15838.17,Employed,Graduate,Rural,1
39,35704.5,14602.03,Self-Employed,Graduate,Urban,1
33,43339.31,22282.26,Employed,Graduate,Semiurban,1
34,22984.01,9127.74,Employed,Graduate,Rural,0
35,53386.73,10190.41,Employed,Graduate,Semiurban,1
40,49044.44,9807.83,Employed,Graduate,Urban,1
33,35353.92,18621.59,Self-Employed,Not Graduate,Urban,0
51,63812.11,19151.94,Employed,Graduate,Urban,1
29,71326.85,16002.34,Self-Employed,Not Graduate,Urban,1
36,25770.25,21448.23,Employed,Not Graduate,Urban,1
34,36131.13,8339.71,Employed,Graduate,Semiurban,0
52,36038.5,26027.0,Self-Employed,Graduate,Semiurban,1
40,33659.1,24570.34,Employed,Graduate,Rural,1
48,68308.53,17930.33,Employed,Not Graduate,Rural,0
23,45363.79,27247.57,Employed,Not Graduate,Urban,0
41,44099.07,6886.72,Employed,Not Graduate,Semiurban,0
47,21992.46,10831.57,Employed,Graduate,Urban,1
39,63206.8,9955.48,Employed,Not Graduate,Semiurban,1
49,29860.64,17829.18,Employed,Graduate,Rural,1
33,50210.18,8777.47,Employed,Graduate,Urban,1
52,54772.9,18087.89,Unemployed,Graduate,Semiurban,1
61,84479.44,23114.48,Employed,Graduate,Urban,1
34,29041.23,17642.77,Self-Employed,Not Graduate,Rural,0
34,14649.99,14965.46,Employed,Graduate,Rural,0
53,52761.65,8998.84,Employed,Graduate,Urban,1
54,100730.56,9521.04,Self-Employed,Graduate,Rural,1
33,80465.08,22023.11,Employed,Not Graduate,Rural,0
34,53309.18,18246.7,Self-Employed,Not Graduate,Semiurban,0
35,40269.33,13152.83,Employed,Graduate,Urban,1
25,67700.51,11303.14,Employed,Graduate,Semiurban,1
29,33209.18,5941.26,Employed,Graduate,Urban,1
28,59310.59,8705.05,Employed,Not Graduate,Urban,1
30,60005.29,28697.57,Self-Employed,Graduate,Urban,1
38,74913.09,8004.97,Employed,Graduate,Urban,1
40,147836.77,14411.65,Unemployed,Graduate,Urban,1
54,57352.19,19989.8,Unemployed,Graduate,Semiurban,0
28,39991.19,8087.14,Employed,Not Graduate,Urban,1
48,48521.89,14384.18,Employed,Graduate,Urban,1
36,24157.97,19441.52,Self-Employed,Graduate,Urban,1
38,37127.56,13426.69,Unemployed,Graduate,Semiurban,1
45,41617.96,42081.4,Employed,Graduate,Semiurban,0
27,39749.98,6853.81,Employed,Not Graduate,Urban,0
42,52101.13,20404.11,Employed,Graduate,Urban,1
40,35278.61,12467.48,Self-Employed,Not Graduate,Urban,0
43,76757.95,18192.56,Employed,Not Graduate,Urban,1
41,49024.86,15938.98,Self-Employed,Graduate,Urban,1
63,48838.78,9964.04,Employed,Graduate,Rural,1
32,42995.13,14641.26,Employed,Graduate,Urban,1
33,52160.26,6354.0,Employed,Not Graduate,Rural,0
32,68189.05,17005.62,Employed,Graduate,Urban,1
32,34653.29,15051.96,Employed,Graduate,Semiurban,0
32,37675.05,17248.22,Employed,Graduate,Semiurban,1
50,43412.8,20399.13,Employed,Not Graduate,Rural,0
52,28614.01,15476.03,Employed,Graduate,Urban,1
32,35323.26,14175.01,Employed,Graduate,Rural,1
30,40518.41,9391.62,Unemployed,Graduate,Rural,0
43,69546.83,10047.83,Employed,Graduate,Semiurban,1
32,54449.26,21476.05,Employed,Not Graduate,Rural,0
44,52967.61,23730.92,Employed,Graduate,Semiurban,0
40,68896.4,12146.01,Unemployed,Not Graduate,Semiurban,0
23,46399.84,13607.84,Employed,Not Graduate,Urban,0
53,57307.45,9303.58,Self-Employed,Graduate,Rural,1
56,47038.01,21356.31,Self-Employed,Not Graduate,Urban,0
32,54510.3,17433.81,Employed,Graduate,Urban,1
34,38827.99,29041.67,Employed,Graduate,Rural,1
41,18480.53,9401.93,Self-Employed,Not Graduate,Urban,0
41,46457.27,11485.0,Employed,Graduate,Semiurban,1
45,86603.82,14655.61,Employed,Graduate,Urban,1
58,71003.62,17302.32,Self-Employed,Graduate,Rural,1
36,72125.22,12255.53,Employed,Not Graduate,Rural,1
30,80374.5,9422.12,Self-Employed,Graduate,Rural,0
24,50790.42,19007.01,Employed,Graduate,Rural,1
31,53046.61,17826.73,Self-Employed,Graduate,Semiurban,1
38,38289.82,9260.29,Employed,Not Graduate,Rural,0
56,43198.92,22975.35,Employed,Not Graduate,Rural,0
33,62712.02,21334.47,Employed,Graduate,Urban,1
40,79344.45,14097.02,Unemployed,Not Graduate,Rural,0
38,46361.35,13791.93,Employed,Graduate,Semiurban,1
50,40942.52,16674.29,Employed,Graduate,Rural,0
63,49031.15,9464.65,Employed,Not Graduate,Semiurban,0
33,62347.74,13521.18,Employed,Not Graduate,Rural,1
33,27514.22,5647.94,Employed,Not Graduate,Urban,0
48,19565.59,18969.4,Employed,Not Graduate,Urban,1
45,39331.67,7153.83,Employed,Graduate,Urban,1
56,30082.99,24376.33,Employed,Not Graduate,Rural,0
44,40004.37,11707.11,Employed,Graduate,Semiurban,1
34,46207.06,12275.16,Employed,Graduate,Urban,1
44,40892.45,10393.19,Self-Employed,Graduate,Rural,1
49,87639.49,11905.84,Employed,Graduate,Rural,1
46,55865.25,23562.52,Employed,Graduate,Rural,1
43,55281.29,4938.79,Employed,Graduate,Urban,1
49,62873.68,22265.33,Unemployed,Graduate,Urban,1
50,31084.57,15293.9,Unemployed,Graduate,Urban,0
52,74283.54,8243.59,Self-Employed,Graduate,Urban,1
44,47557.48,8689.54,Employed,Graduate,Urban,1
36,64099.53,26122.63,Employed,Graduate,Urban,1
39,31928.59,9152.64,Employed,Not Graduate,Rural,0
50,26330.85,8422.48,Employed,Not Graduate,Urban,1
30,67992.72,21055.68,Employed,Not Graduate,Semiurban,1
42,56986.17,15297.14,Self-Employed,Graduate,Urban,1
34,34172.6,9180.43,Self-Employed,Not Graduate,Urban,1
38,34618.2,14568.98,Self-Employed,Graduate,Urban,1
51,76893.29,8863.52,Employed,Graduate,Urban,1
40,30462.0,20750.56,Self-Employed,Graduate,Semiurban,1
38,94567.5,20425.68,Employed,Not Graduate,Urban,1
24,34192.16,16527.86,Employed,Graduate,Semiurban,0
45,63282.04,15439.19,Self-Employed,Graduate,Semiurban,1
44,42982.68,27023.85,Employed,Graduate,Rural,1
60,62397.16,13358.05,Employed,Not Graduate,Rural,0
35,39432.85,8326.93,Employed,Graduate,Rural,1
40,45930.42,15991.13,Self-Employed,Graduate,Rural,0
40,49829.76,30773.8,Self-Employed,Graduate,Rural,0
54,32830.89,8902.58,Employed,Graduate,Urban,1
37,65928.74,11561.26,Self-Employed,Not Graduate,Urban,0
41,39923.27,15781.26,Employed,Graduate,Rural,1
44,44737.17,13074.75,Employed,Not Graduate,Rural,0
40,32933.98,9018.91,Self-Employed,Graduate,Semiurban,1
34,17589.66,20925.9,Self-Employed,Not Graduate,Urban,0
40,45414.6,33793.25,Unemployed,Graduate,Semiurban,0
49,128675.13,14450.04,Employed,Graduate,Urban,1
28,67093.45,9305.61,Self-Employed,Graduate,Rural,1
39,48644.59,7189.78,Employed,Graduate,Urban,1
31,44127.73,14811.96,Unemployed,Graduate,Rural,0
50,49463.3,20775.94,Employed,Not Graduate,Urban,0
23,61013.33,16156.33,Self-Employed,Graduate,Rural,1
32,30566.96,13346.89,Employed,Not Graduate,Semiurban,0
42,76552.24,10554.33,Employed,Not Graduate,Rural,1
54,65261.17,8631.16,Employed,Graduate,Rural,1
37,65334.42,18655.58,Employed,Not Graduate,Semiurban,0
32,58418.64,19254.67,Employed,Not Graduate,Semiurban,1
57,49406.96,7199.08,Self-Employed,Graduate,Rural,1
24,64160.59,25233.7,Employed,Not Graduate,Urban,1
21,62113.94,16808.31,Employed,Graduate,Semiurban,1
42,42547.81,23384.71,Employed,Graduate,Rural,0
33,38970.46,7809.91,Employed,Not Graduate,Urban,0
28,51059.28,7736.23,Employed,Graduate,Urban,1
45,91090.43,12586.91,Employed,Graduate,Semiurban,1
40,29862.45,16335.79,Employed,Graduate,Urban,1
32,27254.94,27406.74,Employed,Not Graduate,Semiurban,0
25,52360.32,17719.69,Employed,Not Graduate,Urban,1
47,50028.85,12123.82,Employed,Graduate,Semiurban,1
45,52540.35,8861.33,Employed,Not Graduate,Rural,0
37,54045.48,21850.96,Employed,Not Graduate,Rural,0
56,44833.87,9082.62,Employed,Graduate,Semiurban,1
27,88960.29,25626.63,Unemployed,Graduate,Rural,1
23,25838.95,11923.26,Self-Employed,Not Graduate,Rural,0
31,35192.95,25241.2,Self-Employed,Not Graduate,Urban,0
38,47037.39,17528.31,Employed,Not Graduate,Urban,0
40,25405.59,12647.34,Self-Employed,Graduate,Urban,1
36,45691.07,10853.48,Self-Employed,Graduate,Rural,1
42,95281.23,11656.71,Self-Employed,Graduate,Urban,1
25,49432.07,15856.37,Employed,Graduate,Urban,1
52,53759.75,13778.47,Employed,Graduate,Rural,1
37,29611.97,10535.18,Self-Employed,Not Graduate,Rural,0
49,38309.59,12503.29,Employed,Graduate,Semiurban,1
41,42189.28,13786.3,Employed,Not Graduate,Urban,1
43,43170.56,5701.62,Employed,Graduate,Urban,1
